8703270729305935N3376 84W1384 1954   31 42 12  24
GBTN    9.00  148.00C                  iP  
TLT   189.00  121.00                    P  
ETT   218.00  118.00D                   P  
ORT   350.00  114.00C                  iP  
TKL    76.00  109.00C                  iP  
TQTN  264.00  110.00D                   P  
RCT   238.00  110.00                    P  
HPKT   38.00  107.00                   iP  
DCT   197.00  104.00                    P  
WSSR  118.00  102.00C                  iP  
BHT   296.00  101.00C                  eP  
WMTN  243.00  100.00D                   P  
CRTN   26.00   99.00D                  iP  
RHT   228.00   99.00D                  ip  
LMTN   64.00   98.00D                  iP  
BBG   153.00   98.00C                   P  
GMG   207.00   97.00D                   P  
ONTN  349.00   96.00C                  iP  
ANTN  307.00   80.00C                  iP  
RCG   238.00   80.00D                  iP 4
CPO   272.00   80.00D                  ip 4
CCVA   24.00   80.00D                   P  
SMTN   46.00   80.00D                  eP  
BRTN   54.00   80.00D                  eP  
PDTN  258.00   80.00D                   P  
LKGA  228.00   80.00D                   P  
TVG   217.00   80.00                   iP  
ABTN  282.00   80.00C                   P  
TRYN  101.00   80.00C                  ip 4
SLTN   62.00   53.00D                  eP  
BEV   140.00   53.00                    P  
GFM    74.00   53.00D                  eP  
OCA   243.00   53.00                    P  
BENN   89.00   53.00D                  eP  
PRM   133.00   53.00                   eP  
CHF   138.00   53.00                    P  
MSAL  251.00   53.00D                  eP  
CH6   139.00   53.00                    P 4
ATL   182.00   53.00                    P 4
BGKY  309.00   53.00                   eP  
SHTN  268.00   53.00D                  eP  
SOKY  325.00   53.00D                  eP  
L6KY  349.00   53.00                   eP  
PKNC   78.00   53.00D                  eP  
ETG   162.00   53.00                    P 4
BHKY  355.00   53.00                   eP  
JSC   117.00   53.00                   eP 4
PLVA   65.00   53.00D                  eP  
PKKY   18.00   53.00D                  iP 4
LHS   110.00   53.00                   eP  
PUV    61.00   53.00                   eP  
SMKY  308.00   53.00                   eP  
PWLA  261.00   53.00C                  eP  
NAV    57.00   53.00                   eP  
MOTN  290.00   53.00C                  eP  
HWV    52.00   53.00C                  eP  
BLA    61.00   53.00                   eP  
VWV    57.00   53.00C                  eP 4
