  Mon May 29 20:25:46 2017 for program Focmec
 Event 8703270729 2.0 RW polarity errors
 Input from a file 8703270729.inp
 Chapman et al. 1997 Event 12: 8703270729305.  Emergent coded
 Including emergent polarity picks
 Polarities/Errors:  P 037/ 2.0  SV 000/ 0.0  SH 000/ 0.0
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   85.17   78.44  -74.95       1.92  0.00  0.00
   80.34   79.76  -74.78       1.99  0.00  0.00
   90.00  262.29   75.00       1.87  0.00  0.00
   85.17   83.58  -74.95       1.88  0.00  0.00
   85.17  266.13   74.95       1.99  0.00  0.00
   90.00  267.43   75.00       1.87  0.00  0.00
   85.17  271.27   74.95       1.99  0.00  0.00
   85.30   75.83  -69.93       1.94  0.00  0.00
   80.61   77.57  -69.72       1.95  0.00  0.00
   75.92   79.35  -69.35       1.97  0.00  0.00
   90.00  259.41   70.00       1.90  0.00  0.00
   85.30   81.13  -69.93       1.83  0.00  0.00
   80.61   82.86  -69.72       1.92  0.00  0.00
   85.30  262.99   69.93       1.92  0.00  0.00
   90.00  264.71   70.00       1.77  0.00  0.00
   85.30   86.42  -69.93       1.86  0.00  0.00
   80.61  266.55   69.72       1.97  0.00  0.00
   85.30  268.29   69.93       1.88  0.00  0.00
   90.00  270.00   70.00       1.82  0.00  0.00
   80.61  271.84   69.72       1.96  0.00  0.00
   85.30  273.58   69.93       1.91  0.00  0.00
   57.39  288.30   66.04       1.98  0.00  0.00
   76.43   75.69  -64.23       1.98  0.00  0.00
   71.94   77.98  -63.61       1.97  0.00  0.00
   85.47   76.89  -64.92       1.94  0.00  0.00
   80.95   79.03  -64.66       1.85  0.00  0.00
   76.43   81.23  -64.23       1.92  0.00  0.00
   90.00  260.31   65.00       1.85  0.00  0.00
   85.47   82.43  -64.92       1.80  0.00  0.00
   80.95   84.57  -64.66       1.90  0.00  0.00
   85.47  263.73   64.92       1.86  0.00  0.00
   90.00  265.85   65.00       1.79  0.00  0.00
   85.47   87.96  -64.92       1.86  0.00  0.00
   80.95  267.12   64.66       1.87  0.00  0.00
   85.47  269.27   64.92       1.80  0.00  0.00
   90.00  271.38   65.00       1.87  0.00  0.00
   76.43  270.46   64.23       1.92  0.00  0.00
   80.95  272.66   64.66       1.86  0.00  0.00
   85.47  274.81   64.92       1.92  0.00  0.00
   71.94  273.72   63.61       1.96  0.00  0.00
