  Mon May 29 18:00:05 2017 for program Focmec
 Event 8703270729 1 UW error max, no emergent arrivals
 Input from a file 8703270729.inp
 Chapman et al. 1997 Event 12: 8703270729305.  Emergent coded
 Not including emergent polarity picks
 Polarities/Errors:  P 022/01  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   21.09  125.71   44.01       1.00  0.00  0.00
   85.17  276.42   74.95       1.00  0.00  0.00
   24.81  117.49   35.42       1.00  0.00  0.00
   90.00  275.29   70.00       1.00  0.00  0.00
   85.30   97.01  -69.93       1.00  0.00  0.00
   85.30  278.87   69.93       1.00  0.00  0.00
   90.00  280.59   70.00       1.00  0.00  0.00
   28.90  114.07   29.03       1.00  0.00  0.00
   85.47  274.81   64.92       1.00  0.00  0.00
   80.95  278.20   64.66       1.00  0.00  0.00
   85.47  280.34   64.92       1.00  0.00  0.00
   31.47  109.43   16.74       1.00  0.00  0.00
   30.38  111.54    8.58       1.00  0.00  0.00
   90.00  272.90   60.00       1.00  0.00  0.00
   81.35  273.67   59.62       1.00  0.00  0.00
   85.67  276.20   59.91       1.00  0.00  0.00
   90.00  278.71   60.00       1.00  0.00  0.00
   77.05  276.89   59.13       1.00  0.00  0.00
   81.35  279.48   59.62       1.00  0.00  0.00
   85.91  271.70   54.90       1.00  0.00  0.00
   90.00  274.58   55.00       1.00  0.00  0.00
   77.76  271.94   54.06       1.00  0.00  0.00
   81.82  274.90   54.59       1.00  0.00  0.00
   85.91  277.81   54.90       1.00  0.00  0.00
   90.00  280.68   55.00       1.00  0.00  0.00
   73.73  274.99   53.31       1.00  0.00  0.00
   77.76  278.04   54.06       1.00  0.00  0.00
   69.75  277.91   52.31       1.00  0.00  0.00
   60.50   83.98  -42.39       1.00  0.00  0.00
   67.48   82.54  -45.90       1.00  0.00  0.00
   82.36   94.83  -49.57       1.00  0.00  0.00
   86.17  271.69   49.89       1.00  0.00  0.00
   90.00  274.91   50.00       1.00  0.00  0.00
   86.17   98.13  -49.89       1.00  0.00  0.00
   78.56  271.68   49.02       1.00  0.00  0.00
   82.36  274.99   49.57       1.00  0.00  0.00
   86.17  278.24   49.89       1.00  0.00  0.00
   74.81  274.83   48.24       1.00  0.00  0.00
   78.56  278.23   49.02       1.00  0.00  0.00
   71.11  277.86   47.21       1.00  0.00  0.00
   62.97   83.62  -37.45       1.00  0.00  0.00
   69.30   82.21  -40.89       1.00  0.00  0.00
   82.95   95.34  -44.56       1.00  0.00  0.00
   86.47  271.75   44.89       1.00  0.00  0.00
   90.00  275.29   45.00       1.00  0.00  0.00
   86.47   98.83  -44.89       1.00  0.00  0.00
   79.45  271.62   44.01       1.00  0.00  0.00
   82.95  275.25   44.56       1.00  0.00  0.00
