  Mon May 29 17:56:58 2017 for program Focmec
 Event 8703270729 4 UW errors max
 Input from a file 8703270729.inp
 Chapman et al. 1997 Event 12: 8703270729305.  Emergent coded
 Including emergent polarity picks
 Polarities/Errors:  P 037/04  SV 000/00  SH 000/00
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   90.00  274.91   50.00       4.00  0.00  0.00
   82.36  274.99   49.57       4.00  0.00  0.00
   86.17  278.24   49.89       4.00  0.00  0.00
   78.56  278.23   49.02       4.00  0.00  0.00
   86.47  271.75   44.89       4.00  0.00  0.00
   90.00  275.29   45.00       4.00  0.00  0.00
   86.47   98.83  -44.89       4.00  0.00  0.00
   82.95  275.25   44.56       4.00  0.00  0.00
   86.47  278.81   44.89       4.00  0.00  0.00
   79.45  278.68   44.01       4.00  0.00  0.00
   90.00  273.91   40.00       4.00  0.00  0.00
   83.59  274.05   39.57       4.00  0.00  0.00
   80.42  277.97   39.03       4.00  0.00  0.00
