  Fri Jun  2 11:28:31 2017 for program Focmec
 Sakhalin:  8 BB stations no ratios, 0 polarity errors: ak135 with no crust
 Input from a file focmec_8sta-noratios.inp
  12-MAY-90 Sakhalin Island Event:  161221 disp picks with no ratios
   8 P Pol.  7 SV Pol.  8 SH Pol.   0 allowed  errors
 There are no amplitude ratio data
 The minimum, increment and maximum B axis trend:     0.00    5.00  355.00
 The limits for the B axis plunge:     0.00    5.00   90.00
 The limits for Angle:     0.00    5.00  175.00
    Dip   Strike   Rake    Pol: P     SV    SH
   10.00  250.00  -90.00       0.00  0.00  0.00
    5.00  250.00  -90.00       0.00  0.00  0.00
   10.00  255.00  -90.00       0.00  0.00  0.00
    5.00  255.00  -90.00       0.00  0.00  0.00
   10.00  260.00  -90.00       0.00  0.00  0.00
    5.00  260.00  -90.00       0.00  0.00  0.00
   10.00  265.00  -90.00       0.00  0.00  0.00
    7.07  299.89  -44.89       0.00  0.00  0.00
   11.17  286.30  -63.26       0.00  0.00  0.00
    7.07  304.89  -44.89       0.00  0.00  0.00
   11.17  291.30  -63.26       0.00  0.00  0.00
    7.07  309.89  -44.89       0.00  0.00  0.00
    7.07  314.89  -44.89       0.00  0.00  0.00
   80.04   60.88  -84.92       0.00  0.00  0.00
   85.02   65.44  -84.98       0.00  0.00  0.00
   80.04   65.88  -84.92       0.00  0.00  0.00
   85.02   70.44  -84.98       0.00  0.00  0.00
   80.04   70.88  -84.92       0.00  0.00  0.00
   85.02   75.44  -84.98       0.00  0.00  0.00
   80.04   75.88  -84.92       0.00  0.00  0.00
   80.04   80.88  -84.92       0.00  0.00  0.00
   80.04   85.88  -84.92       0.00  0.00  0.00
   11.17  324.39  -26.30       0.00  0.00  0.00
   14.11  310.76  -44.56       0.00  0.00  0.00
   11.17  329.46  -26.30       0.00  0.00  0.00
   11.17  334.53  -26.30       0.00  0.00  0.00
   80.15   54.99  -79.85       0.00  0.00  0.00
   85.08   59.18  -79.96       0.00  0.00  0.00
   80.15   60.06  -79.85       0.00  0.00  0.00
   85.08   64.25  -79.96       0.00  0.00  0.00
   80.15   65.13  -79.85       0.00  0.00  0.00
   85.08   69.32  -79.96       0.00  0.00  0.00
   80.15   70.20  -79.85       0.00  0.00  0.00
   80.15   75.27  -79.85       0.00  0.00  0.00
   80.15   80.35  -79.85       0.00  0.00  0.00
   80.15   85.42  -79.85       0.00  0.00  0.00
   15.79  338.75  -18.02       0.00  0.00  0.00
   15.79  343.89  -18.02       0.00  0.00  0.00
   80.34   54.04  -74.78       0.00  0.00  0.00
   75.52   55.40  -74.50       0.00  0.00  0.00
   85.17   57.87  -74.95       0.00  0.00  0.00
   80.34   59.18  -74.78       0.00  0.00  0.00
   75.52   60.54  -74.50       0.00  0.00  0.00
   85.17   63.01  -74.95       0.00  0.00  0.00
   80.34   64.33  -74.78       0.00  0.00  0.00
   85.17   68.15  -74.95       0.00  0.00  0.00
   80.34   69.47  -74.78       0.00  0.00  0.00
   80.34   74.61  -74.78       0.00  0.00  0.00
   80.34   79.76  -74.78       0.00  0.00  0.00
   20.59  345.65  -13.47       0.00  0.00  0.00
   75.92   47.59  -69.35       0.00  0.00  0.00
   80.61   51.10  -69.72       0.00  0.00  0.00
   75.92   52.88  -69.35       0.00  0.00  0.00
   85.30   54.66  -69.93       0.00  0.00  0.00
   80.61   56.39  -69.72       0.00  0.00  0.00
   75.92   58.18  -69.35       0.00  0.00  0.00
   85.30   59.95  -69.93       0.00  0.00  0.00
   80.61   61.69  -69.72       0.00  0.00  0.00
   75.92   63.47  -69.35       0.00  0.00  0.00
   80.61   66.98  -69.72       0.00  0.00  0.00
   80.61   72.27  -69.72       0.00  0.00  0.00
   25.46  352.46  -10.59       0.00  0.00  0.00
   76.43   48.00  -64.23       0.00  0.00  0.00
   80.95   51.34  -64.66       0.00  0.00  0.00
   76.43   53.54  -64.23       0.00  0.00  0.00
   85.47   54.73  -64.92       0.00  0.00  0.00
   80.95   56.88  -64.66       0.00  0.00  0.00
   76.43   59.08  -64.23       0.00  0.00  0.00
   85.47   60.27  -64.92       0.00  0.00  0.00
   80.95   62.42  -64.66       0.00  0.00  0.00
   76.43   64.61  -64.23       0.00  0.00  0.00
   80.95   67.95  -64.66       0.00  0.00  0.00
   77.05   42.47  -59.13       0.00  0.00  0.00
   72.77   45.15  -58.43       0.00  0.00  0.00
   77.05   48.28  -59.13       0.00  0.00  0.00
   72.77   50.96  -58.43       0.00  0.00  0.00
   81.35   51.49  -59.62       0.00  0.00  0.00
   77.05   54.08  -59.13       0.00  0.00  0.00
   85.67   54.76  -59.91       0.00  0.00  0.00
   81.35   57.30  -59.62       0.00  0.00  0.00
   77.05   59.89  -59.13       0.00  0.00  0.00
   85.67   60.57  -59.91       0.00  0.00  0.00
   81.35   63.10  -59.62       0.00  0.00  0.00
   77.05   65.70  -59.13       0.00  0.00  0.00
   77.76   42.30  -54.06       0.00  0.00  0.00
   73.73   45.35  -53.31       0.00  0.00  0.00
   77.76   48.40  -54.06       0.00  0.00  0.00
   73.73   51.45  -53.31       0.00  0.00  0.00
   81.82   51.54  -54.59       0.00  0.00  0.00
   77.76   54.50  -54.06       0.00  0.00  0.00
   73.73   57.55  -53.31       0.00  0.00  0.00
   85.91   54.74  -54.90       0.00  0.00  0.00
   81.82   57.64  -54.59       0.00  0.00  0.00
   77.76   60.60  -54.06       0.00  0.00  0.00
   81.82   63.74  -54.59       0.00  0.00  0.00
   77.76   66.70  -54.06       0.00  0.00  0.00
   51.13   32.73  -34.36       0.00  0.00  0.00
   63.94   40.60  -44.31       0.00  0.00  0.00
   71.11   39.59  -47.21       0.00  0.00  0.00
   67.48   43.27  -45.90       0.00  0.00  0.00
   74.81   42.62  -48.24       0.00  0.00  0.00
   71.11   46.14  -47.21       0.00  0.00  0.00
   78.56   45.77  -49.02       0.00  0.00  0.00
   74.81   49.17  -48.24       0.00  0.00  0.00
   71.11   52.69  -47.21       0.00  0.00  0.00
   78.56   52.32  -49.02       0.00  0.00  0.00
   74.81   55.71  -48.24       0.00  0.00  0.00
   82.36   55.56  -49.57       0.00  0.00  0.00
   78.56   58.86  -49.02       0.00  0.00  0.00
   82.36   62.10  -49.57       0.00  0.00  0.00
   78.56   65.41  -49.02       0.00  0.00  0.00
   50.14   31.89  -22.91       0.00  0.00  0.00
   52.24   33.12  -26.57       0.00  0.00  0.00
   54.60   34.69  -29.84       0.00  0.00  0.00
   52.24   40.18  -26.57       0.00  0.00  0.00
   57.20   36.59  -32.73       0.00  0.00  0.00
   54.60   41.75  -29.84       0.00  0.00  0.00
   60.00   38.79  -35.26       0.00  0.00  0.00
   66.07   36.93  -39.32       0.00  0.00  0.00
   62.97   41.27  -37.45       0.00  0.00  0.00
   69.30   39.85  -40.89       0.00  0.00  0.00
   66.07   43.99  -39.32       0.00  0.00  0.00
   72.61   42.95  -42.19       0.00  0.00  0.00
   69.30   46.91  -40.89       0.00  0.00  0.00
   76.00   46.20  -43.22       0.00  0.00  0.00
   72.61   50.01  -42.19       0.00  0.00  0.00
   79.45   49.55  -44.01       0.00  0.00  0.00
   76.00   53.26  -43.22       0.00  0.00  0.00
   72.61   57.07  -42.19       0.00  0.00  0.00
   82.95   52.99  -44.56       0.00  0.00  0.00
   79.45   56.61  -44.01       0.00  0.00  0.00
   76.00   60.32  -43.22       0.00  0.00  0.00
   82.95   60.05  -44.56       0.00  0.00  0.00
   56.17   37.34  -22.76       0.00  0.00  0.00
   54.37   43.02  -19.53       0.00  0.00  0.00
   60.50   34.57  -28.34       0.00  0.00  0.00
   58.23   39.74  -25.70       0.00  0.00  0.00
   56.17   45.17  -22.76       0.00  0.00  0.00
   62.97   37.45  -30.68       0.00  0.00  0.00
   60.50   42.39  -28.34       0.00  0.00  0.00
   58.23   47.57  -25.70       0.00  0.00  0.00
   68.37   36.03  -34.50       0.00  0.00  0.00
   65.60   40.56  -32.73       0.00  0.00  0.00
   62.97   45.28  -30.68       0.00  0.00  0.00
   71.25   39.51  -36.01       0.00  0.00  0.00
   68.37   43.86  -34.50       0.00  0.00  0.00
   65.60   48.38  -32.73       0.00  0.00  0.00
   74.24   43.14  -37.25       0.00  0.00  0.00
   71.25   47.34  -36.01       0.00  0.00  0.00
   68.37   51.69  -34.50       0.00  0.00  0.00
   77.30   46.88  -38.26       0.00  0.00  0.00
   74.24   50.96  -37.25       0.00  0.00  0.00
   71.25   55.16  -36.01       0.00  0.00  0.00
   80.42   50.73  -39.03       0.00  0.00  0.00
   77.30   54.71  -38.26       0.00  0.00  0.00
   74.24   58.79  -37.25       0.00  0.00  0.00
   83.59   54.65  -39.57       0.00  0.00  0.00
   80.42   58.56  -39.03       0.00  0.00  0.00
   77.30   62.54  -38.26       0.00  0.00  0.00
   57.39   52.87  -13.47       0.00  0.00  0.00
   61.98   45.09  -21.88       0.00  0.00  0.00
   60.22   50.43  -19.30       0.00  0.00  0.00
   66.07   43.71  -26.34       0.00  0.00  0.00
   63.94   48.70  -24.23       0.00  0.00  0.00
   70.79   43.01  -29.84       0.00  0.00  0.00
   68.37   47.67  -28.21       0.00  0.00  0.00
   66.07   52.49  -26.34       0.00  0.00  0.00
   73.33   47.26  -31.23       0.00  0.00  0.00
   70.79   51.79  -29.84       0.00  0.00  0.00
   75.97   51.64  -32.40       0.00  0.00  0.00
   73.33   56.04  -31.23       0.00  0.00  0.00
   78.69   56.11  -33.34       0.00  0.00  0.00
   75.97   60.42  -32.40       0.00  0.00  0.00
   61.98   57.20  -11.17       0.00  0.00  0.00
   65.82   51.04  -18.32       0.00  0.00  0.00
   64.34   56.31  -16.10       0.00  0.00  0.00
   69.30   50.89  -22.21       0.00  0.00  0.00
   67.48   55.90  -20.36       0.00  0.00  0.00
   73.33   51.23  -25.31       0.00  0.00  0.00
   71.25   56.01  -23.86       0.00  0.00  0.00
   75.52   56.57  -26.57       0.00  0.00  0.00
   80.15   57.50  -28.48       0.00  0.00  0.00
   68.53   57.50  -13.12       0.00  0.00  0.00
   75.97   56.40  -20.91       0.00  0.00  0.00
